id,title,sell_point,taobao_price,stock,barcode,image,cid,status,created,updated,quality_score,jindong_price
,Kingwuu,【4根装】精武鸭脖整根手撕风干整根鸭脖氮气保鲜武汉鸭脖多口味,31.16,384590,,http://h2.appsimg.com/a.appsimg.com/upload/merchandise/pdcpos/1100012598/2023/0928/99/e86f94ee-82a2-4bce-b3ef-c9e4f0cf9c78_420_531.jpg,1,1,,,,
,回味一梦,【8根】手撕风干鸭脖60g*8整根鸭肉类休闲零食解馋卤味氮气锁鲜,67,384590,,http://h2.appsimg.com/a.appsimg.com/upload/merchandise/pdcpos/1100014606/2023/0928/125/0b37ba53-684f-4ba1-bba8-8c634412bac9_420_531.jpg,1,1,,,,
,自然派,【2件起售】【自然派_鸭翅+鸭脖+卤凤爪298g】3种香辣卤味休闲零食,29.14,384590,,http://h2.appsimg.com/a.appsimg.com/upload/merchandise/pdcvis/605222/2018/1226/82/54e88b55-bc83-4f8b-90b9-5f71d4c35a45_420_531.jpg,1,1,,,,
,爽康,麻辣鸭脖 特产卤味零食香辣鸭脖子 散称500g,36,384590,,http://h2.appsimg.com/a.appsimg.com/upload/merchandise/pdcpos/1100013895/2023/0425/70/b80b555b-b3f8-4909-883b-8d67a9e88d5d_420_531.jpg,1,1,,,,
,周黑鸭,卤鸭脖140g*3袋麻辣休闲卤味零食颗粒分享装,48,384590,,http://h2.appsimg.com/a.appsimg.com/upload/merchandise/pdcvis/608375/2022/0301/156/b73a1f1a-30b7-4906-a69a-cb8ffd8ca6a5_420_531.jpg,1,1,,,,
,口口香,酱鸭脖休闲零食肉干肉脯独立小包装380g猛辣味,46.9,384590,,http://h2.appsimg.com/a.appsimg.com/upload/merchandise/pdcpos/1100014976/2024/0521/83/604be2ba-701f-4a2d-9134-90859ae34197_420_531.jpg,1,1,,,,
,Kingwuu,【8根】精武手撕风干鸭脖整根氮气锁鲜武汉特产卤鸭脖子,55.1,384590,,http://h2.appsimg.com/a.appsimg.com/upload/merchandise/pdcpos/1100012598/2022/0926/30/27dddfca-5234-4fda-952d-998ae92ffbd4_420_531.jpg,1,1,,,,
,回味一梦,手撕风干鸭脖60g整根鸭肉类休闲零食解馋卤味氮气锁鲜,12,384590,,http://h2.appsimg.com/a.appsimg.com/upload/merchandise/pdcpos/1100014606/2023/0928/43/4f048437-b720-4fc2-8fe5-e6a353125487_420_531.jpg,1,1,,,,
,百草味,【两袋】鸭脖170g麻辣休闲鸭肉卤味真空包装办公室夜宵休闲零食,29.9,384590,,http://h2.appsimg.com/a.appsimg.com/upload/merchandise/pdcpos/1100009249/2023/0725/106/a4e4a8d7-cdee-40a1-81db-2c28aea014b8_420_531.jpg,1,1,,,,
,小胡鸭,鸭脖香辣味118g袋装解馋卤味肉类熟食辣卤休闲零食,34.01,384590,,http://h2.appsimg.com/a.appsimg.com/upload/merchandise/pdcpos/1100014208/2023/0509/102/0e20a9a4-f12c-4c8c-a3b8-1b06ceb0fa14_420_531.jpg,1,1,,,,
,周黑鸭,真空小包装 鸭脖140g鸭锁骨140g鸭翅145g 共3袋,46,384590,,http://h2.appsimg.com/a.appsimg.com/upload/merchandise/pdcvis/608375/2022/1207/63/fb38e556-3e79-4a8e-8615-28259a10b1bc_420_531.jpg,1,1,,,,
,口口香,酱鸭脖子休闲办公小零食18g*20包,66.9,384590,,http://h2.appsimg.com/a.appsimg.com/upload/merchandise/pdcpos/1100014976/2024/0521/23/12201d34-c4fb-49eb-9614-c283af321c5d_420_531.jpg,1,1,,,,
,Kingwuu,精武鸭货零食大礼包550克整箱福气满满卤味武汉特产鸭脖熟食,42.75,384590,,http://h2.appsimg.com/a.appsimg.com/upload/merchandise/pdcvis/635702/2023/1123/180/dbbb8887-64a9-4253-870c-b60cf8f1e0a3_420_531.jpg,1,1,,,,
